full_text,case_folding CPMK2,preprocessing CPMK3,label
@CakKhum Ya Smga ALLÀH dg Seluruh Kekuatan ALAM-NYA yg Jujur &amp; Dahsyat ini terus memberi Kekuatan Dahsyat &amp; Kemudahan bpk Menkeu PURBAYA utk MENGELOLA &amp; MENINGKATKAN Perekonomian Indonesia lbh baik lbh Maju lbh Meningkat lbh Makmur &amp; lbh Mensejahterakan Rakyat Bangsa &amp; Negara.️,@cakkhum ya smga allàh dg seluruh kekuatan alam-nya yg jujur &amp; dahsyat ini terus memberi kekuatan dahsyat &amp; kemudahan bpk menkeu purbaya utk mengelola &amp; meningkatkan perekonomian indonesia lbh baik lbh maju lbh meningkat lbh makmur &amp; lbh mensejahterakan rakyat bangsa &amp; negara.️,smga all h kuat alam nya jujur amp dahsyat kuat dahsyat amp mudah bpk kelola amp tingkat ekonomi indonesia lbh lbh maju lbh tingkat lbh makmur amp lbh sejahtera rakyat bangsa amp negara,positive
@Nexus031191 @puzzwles jangan ada wamen2 yang diangkat dengan kepres juga susah ngaturnya klau dirjen ga capai target bisa diganti yang lain oleh menkeu kira2 begitu kali maksud pak purbaya sehingga lebih satu set,@nexus031191 @puzzwles jangan ada wamen2 yang diangkat dengan kepres juga susah ngaturnya klau dirjen ga capai target bisa diganti yang lain oleh menkeu kira2 begitu kali maksud pak purbaya sehingga lebih satu set,wamen angkat pres susah ngaturnya klau dirjen capai target ganti kali maksud set,positive
@sharpandshark mentri purbaya uang harus dipakai-berputar untuk menggerakkan ekonomi masyarakat jangan disimpan terlalu lama.Demikian juga alokasi dana kementrian harus sesuai dengan rencana anggarannya jika tidak terserap ya dianbil lagi agar bisa digunakan untuk yg lsin yg lebih berguna.,@sharpandshark mentri purbaya uang harus dipakai-berputar untuk menggerakkan ekonomi masyarakat jangan disimpan terlalu lama.demikian juga alokasi dana kementrian harus sesuai dengan rencana anggarannya jika tidak terserap ya dianbil lagi agar bisa digunakan untuk yg lsin yg lebih berguna.,tri uang pakai putar gerak ekonomi masyarakat simpan alokasi dana tri sesuai rencana anggar serap dianbil lsin guna,positive
@sharpandshark Beda dengan mentri purbaya sang mentri selaku mentri keuangan melihat rida ekonomi nasional melambat ada kelesuan sehingga berinisiatif mengambil dana 200T dari BI untuk dikekola oleh bank2 pemerintah tujuannya agar bank pemerintah ini punya dana segar untuk menyalurkan kredit,@sharpandshark beda dengan mentri purbaya sang mentri selaku mentri keuangan melihat rida ekonomi nasional melambat ada kelesuan sehingga berinisiatif mengambil dana 200t dari bi untuk dikekola oleh bank2 pemerintah tujuannya agar bank pemerintah ini punya dana segar untuk menyalurkan kredit,beda tri sang tri tri uang rida ekonomi nasional lambat lesu inisiatif ambil dana triliun bi kola bank perintah tuju bank perintah dana segar salur kredit,positive
new idol has been unlock Purbaya Yudhi Sadewaaaaaaa ,new idol has been unlock purbaya yudhi sadewaaaaaaa ,new idol has been unlock yudhi sadewa,positive
Pak @Ronnie_Rusli Purbaya bilang bukan kita ngak bisa bikin kilang tapi Pertamina malas-malasan ,pak @ronnie_rusli purbaya bilang bukan kita ngak bisa bikin kilang tapi pertamina malas-malasan ,bilang ngak bikin kilang pertamina malas malas,positive
Kekwkwkwk kadang omongan pak Purbaya ngeri sedab awas pak di musuihin nanti https://t.co/Oit5KC3Z3i,kekwkwkwk kadang omongan pak purbaya ngeri sedab awas pak di musuihin nanti https://t.co/oit5kc3z3i,kekwkwkwk kadang omong ngeri dab awas musuihin,positive
@CNNIndonesia Itu diluar kewenanganmu purbaya ! Kemenkeu tidak punya wewenang pengawasan atas bank bumn. Yg punya kewenangan itu OJK dan BI.,@cnnindonesia itu diluar kewenanganmu purbaya ! kemenkeu tidak punya wewenang pengawasan atas bank bumn. yg punya kewenangan itu ojk dan bi.,luar wenang kemenkeu wewenang awas bank bumn wenang ojk bi,negative
@04_zainal MUI jangan asal kritik..biarkan bapak Purbaya bekerja dulu ...kalian MUI intropeksi saja sendiri,@04_zainal mui jangan asal kritik..biarkan bapak purbaya bekerja dulu ...kalian mui intropeksi saja sendiri,mui kritik biar mui intropeksi,positive
Menteri Keuangan Purbaya Yudhi Sadewa buka suara karena dikritik tidak menaikkan cukai rokok tahun depan. Purbaya mendapatkan karangan bunga yang dikirim ke kantornya langsung sebagai simbol protes⁣⁣ ⁣⁣ &gt;&gt; https://t.co/LBT4JeoIa3 #Rokok #CukaiRokok #PurbayaYudhiSadewa #Cukai https://t.co/vScI5chMlr,menteri keuangan purbaya yudhi sadewa buka suara karena dikritik tidak menaikkan cukai rokok tahun depan. purbaya mendapatkan karangan bunga yang dikirim ke kantornya langsung sebagai simbol protes⁣⁣ ⁣⁣ &gt;&gt; https://t.co/lbt4jeoia3 #rokok #cukairokok #purbayayudhisadewa #cukai https://t.co/vsci5chmlr,menteri uang yudhi sadewa buka suara kritik naik cukai rokok karang bunga kirim kantor langsung simbol protes gt gt rokok cukairokok purbayayudhisadewa cukai,negative
@drupadawan @BosPurwa Yah gitu lah bg.. Purbaya lg cari panggung di hati rakyat.. Supaya kelihatan baik di mata penonton sosmed.. Pada akhirnya kelakuannya menyimpang di kemudian hari.. Padahal gak banyak manfaat yg kita dapat setelah semuanya di pajak2in,@drupadawan @bospurwa yah gitu lah bg.. purbaya lg cari panggung di hati rakyat.. supaya kelihatan baik di mata penonton sosmed.. pada akhirnya kelakuannya menyimpang di kemudian hari.. padahal gak banyak manfaat yg kita dapat setelah semuanya di pajak2in,gitu bg lg cari panggung hati rakyat mata tonton sosmed laku simpang manfaat pajak in,negative
3. Qodari diangkat jadi Ketua KSP. Yang dia kritik pertama adalah Prabowo yang mengangkat Purbaya dan dia sodorkan Maruarar Sirait tangan kanan Aguan. (said Didu) #DibayangiPeristiwaG30SPKI #DibayangiPeristiwaG30SPKI,3. qodari diangkat jadi ketua ksp. yang dia kritik pertama adalah prabowo yang mengangkat purbaya dan dia sodorkan maruarar sirait tangan kanan aguan. (said didu) #dibayangiperistiwag30spki #dibayangiperistiwag30spki,qodari angkat ketua ksp kritik prabowo angkat sodor maruarar sirait tangan kanan aguan said didu dibayangiperistiwag spki dibayangiperistiwag spki,negative
@KompasTV Nahh lohhh sekarang ketemukan titik muaranya dimana dan disiapa!?.. semuanya itu balik lagi ke mindset nya para pejabat dan wakil rakyat tersebut!!.. apakah mereka ingin mensejahterakan bangsa dan negara nya atau hanya untuk diri mereka masing masing!?.. Bravo Pak Purbaya ,@kompastv nahh lohhh sekarang ketemukan titik muaranya dimana dan disiapa!?.. semuanya itu balik lagi ke mindset nya para pejabat dan wakil rakyat tersebut!!.. apakah mereka ingin mensejahterakan bangsa dan negara nya atau hanya untuk diri mereka masing masing!?.. bravo pak purbaya ,nahh ketemu titik muara siapa mindset nya jabat wakil rakyat sejahtera bangsa negara nya bravo,positive
Wkwkwk semakin banyak pejabat yg cocote rusak macam purbaya atau ahok semakin seru pula untuk mantengin politik nasional ,wkwkwk semakin banyak pejabat yg cocote rusak macam purbaya atau ahok semakin seru pula untuk mantengin politik nasional ,jabat cocote rusak ahok seru mantengin politik nasional,negative
