"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1972928080558903767","Tue Sep 30 22:13:18 +0000 2025","0","@CakKhum Ya Smga ALLÀH dg Seluruh Kekuatan ALAM-NYA yg Jujur &amp; Dahsyat ini terus memberi Kekuatan Dahsyat &amp; Kemudahan bpk Menkeu PURBAYA utk MENGELOLA &amp; MENINGKATKAN Perekonomian Indonesia lbh baik lbh Maju lbh Meningkat lbh Makmur &amp; lbh Mensejahterakan Rakyat Bangsa &amp; Negara.️","1973149181801013583","","CakKhum","in","","0","0","0","https://x.com/undefined/status/1973149181801013583","1375564415970369536",
"1972867648250941535","Tue Sep 30 22:10:46 +0000 2025","2","@Nexus031191 @puzzwles jangan ada wamen2 yang diangkat dengan kepres juga susah ngaturnya klau dirjen ga capai target bisa diganti yang lain oleh menkeu kira2 begitu kali maksud pak purbaya sehingga lebih satu set","1973148540701647024","","Nexus031191","in","","0","1","0","https://x.com/undefined/status/1973148540701647024","1663014010340659202",
"1972696155516747800","Tue Sep 30 21:45:41 +0000 2025","0","@sharpandshark mentri purbaya uang harus dipakai-berputar untuk menggerakkan ekonomi masyarakat jangan disimpan terlalu lama.Demikian juga alokasi dana kementrian harus sesuai dengan rencana anggarannya jika tidak terserap ya dianbil lagi agar bisa digunakan untuk yg lsin yg lebih berguna.","1973142231285637463","","lucimaya123","in","","0","1","0","https://x.com/undefined/status/1973142231285637463","3032152165",
"1972696155516747800","Tue Sep 30 21:29:40 +0000 2025","0","@sharpandshark Beda dengan mentri purbaya sang mentri selaku mentri keuangan melihat rida ekonomi nasional melambat ada kelesuan sehingga berinisiatif mengambil dana 200T dari BI untuk dikekola oleh bank2 pemerintah tujuannya agar bank pemerintah ini punya dana segar untuk menyalurkan kredit","1973138197208260679","","lucimaya123","in","","0","1","0","https://x.com/undefined/status/1973138197208260679","3032152165",
"1973135048137494576","Tue Sep 30 21:17:09 +0000 2025","0","new idol has been unlock Purbaya Yudhi Sadewaaaaaaa ","1973135048137494576","","","in","","0","0","0","https://x.com/undefined/status/1973135048137494576","1299913386977710080",
"1973134758931747125","Tue Sep 30 21:16:00 +0000 2025","0","Dapatkan bonus 10.000 saldo pas install apk Shopeepay Caranya: Upgrade ke spay plus login dg shopee &amp; masukin kode referral FF6JWV5WP diskon promo info freelance job receh zonauang menpora erick thohir bahlil prabowo jokowi purbaya tasya farasya menkeu https://t.co/jrJWpyIRFp https://t.co/jHPxkqyzoc","1973134758931747125","https://pbs.twimg.com/media/G2FF0P2a0AE-9ZZ.jpg","","in","","0","0","0","https://x.com/undefined/status/1973134758931747125","1884735513976004608",
"1973133096834007257","Tue Sep 30 21:09:23 +0000 2025","0","Pak @Ronnie_Rusli Purbaya bilang bukan kita ngak bisa bikin kilang tapi Pertamina malas-malasan ","1973133096834007257","","","in","","0","0","0","https://x.com/undefined/status/1973133096834007257","760406047722909696",
"1973127703806296379","Tue Sep 30 20:47:58 +0000 2025","0","Ini Foto Zaman Purbaya di LPS","1973127703806296379","","","in","","0","0","0","https://x.com/undefined/status/1973127703806296379","1691391977848545280",
"1973121089892147395","Tue Sep 30 20:21:41 +0000 2025","86","Kekwkwkwk kadang omongan pak Purbaya ngeri sedab awas pak di musuihin nanti https://t.co/Oit5KC3Z3i","1973121089892147395","https://pbs.twimg.com/media/G2HvK7MaIAUf-v1.jpg","","in","","0","2","21","https://x.com/undefined/status/1973121089892147395","1344460749964414976",
"1973115884735467854","Tue Sep 30 20:01:00 +0000 2025","0","Klaim 10.000 saldo pas download apk Shopeepay Caaranya: Upgrade ke Shopeepay plus log in pake akun shopee &amp; masukin kode referral FF6JWV5WP diskon promo info freelance job receh zonauang menpora erick thohir bahlil prabowo jokowi purbaya tasya farasya https://t.co/cziHHCFI5H https://t.co/LMFSoNVsNv","1973115884735467854","https://pbs.twimg.com/media/G2FJSdUa0AAw6Sc.jpg","","in","","0","0","0","https://x.com/undefined/status/1973115884735467854","791791758",
"1972995843872690269","Tue Sep 30 19:37:53 +0000 2025","1","@trianaesti @txtdrimedia is that real 200T purbaya ke MBG ka?","1973110066657288195","","trianaesti","in","","0","0","0","https://x.com/undefined/status/1973110066657288195","1543609752911228928",
"1972918955414331763","Tue Sep 30 19:31:59 +0000 2025","0","@CNNIndonesia Itu diluar kewenanganmu purbaya ! Kemenkeu tidak punya wewenang pengawasan atas bank bumn. Yg punya kewenangan itu OJK dan BI.","1973108585036128749","","CNNIndonesia","in","","0","1","0","https://x.com/undefined/status/1973108585036128749","1006840774502146049",
"1973108082898247811","Tue Sep 30 19:30:00 +0000 2025","1","Purbaya paparkan harga Pertalite dan LPG 3 Kg tanpa subsidi https://t.co/3ml3Crdtku","1973108082898247811","","","in","","0","0","0","https://x.com/undefined/status/1973108082898247811","121640063",
"1972947312923283930","Tue Sep 30 19:18:20 +0000 2025","0","@SiBrayyy13 @BosPurwa Emang sekarang menurut mu sudah makmur? Apakabar kalau merasa ahli.. Daftar sana sebagai penasehat Purbaya.. Supaya mata uang kita naik dan nilai rill rupiah kita tidak jatuh terus..","1973105148957426047","","SiBrayyy13","in","","0","4","0","https://x.com/undefined/status/1973105148957426047","1510987052430467072",
"1973056700262252663","Tue Sep 30 19:10:09 +0000 2025","0","@04_zainal MUI jangan asal kritik..biarkan bapak Purbaya bekerja dulu ...kalian MUI intropeksi saja sendiri","1973103090053292170","","04_zainal","in","","0","0","0","https://x.com/undefined/status/1973103090053292170","3256251217",
"1973100537794142385","Tue Sep 30 19:00:01 +0000 2025","0","Menteri Keuangan Purbaya Yudhi Sadewa buka suara karena dikritik tidak menaikkan cukai rokok tahun depan. Purbaya mendapatkan karangan bunga yang dikirim ke kantornya langsung sebagai simbol protes⁣⁣ ⁣⁣ &gt;&gt; https://t.co/LBT4JeoIa3 #Rokok #CukaiRokok #PurbayaYudhiSadewa #Cukai https://t.co/vScI5chMlr","1973100537794142385","https://pbs.twimg.com/media/G2G_MdbbUAAtR7n.jpg","","in","","0","1","0","https://x.com/undefined/status/1973100537794142385","135795460",
